name,status,beginDate,endDate,stationTriplet,latitude,longitude,elevation,countyName,huc
Aneroid Lake #2,Complete,1980-10-01 00:00,2100-01-01 00:00,302:OR:SNTL,45.21332,-117.19255,7430.00,Wallowa,170601050101
Aniak,Complete,2002-07-21 00:00,2100-01-01 00:00,2065:AK:SNTL,61.58337,-159.57708,90.00,Bethel,190305020504
Apishapa,Complete,1979-10-01 00:00,2100-01-01 00:00,303:CO:SNTL,37.33067,-105.06766,10000.00,Huerfano,110200060406
Arapaho Ridge,Complete,2002-08-01 00:00,2100-01-01 00:00,1030:CO:SNTL,40.35098,-106.38141,10960.00,Grand,140100010604
Arrow,Complete,1978-10-01 00:00,2013-10-01 00:00,305:CO:SNTL,39.91550,-105.76083,9660.00,Grand,140100010202
Atigun Pass,Complete,1981-10-01 00:00,2100-01-01 00:00,957:AK:SNTL,68.12983,-149.47817,4780.00,North Slope,190802010102
Atlanta Summit,Complete,1978-10-01 00:00,2100-01-01 00:00,306:ID:SNTL,43.75690,-115.23907,7570.00,Elmore,170501110204
Baker Butte,Complete,1965-10-01 00:00,2100-01-01 00:00,308:AZ:SNTL,34.45654,-111.40651,7360.00,Coconino,150602030206
Baker Butte Smt,Complete,2009-05-18 00:00,2100-01-01 00:00,1140:AZ:SNTL,34.45552,-111.38262,7720.00,Coconino,150602030103
Baldy,Complete,1949-11-01 00:00,2100-01-01 00:00,310:AZ:SNTL,33.97845,-109.50357,9210.00,Apache,150200010203
Banner Summit,Complete,1979-10-01 00:00,2100-01-01 00:00,312:ID:SNTL,44.30342,-115.23447,7040.00,Boise,170501200202
Bar M,Complete,2012-09-06 00:00,2100-01-01 00:00,1212:AZ:SNTL,34.86142,-111.60497,6380.00,Coconino,150602020601
Barker Lakes,Complete,1977-08-01 00:00,2100-01-01 00:00,313:MT:SNTL,46.09713,-113.13038,8250.00,Deer Lodge,170102010304
Basin Creek,Complete,1976-10-01 00:00,2100-01-01 00:00,315:MT:SNTL,45.79737,-112.52047,7120.00,Silver Bow,170102010201
Bassoo Peak,Complete,2011-10-12 00:00,2100-01-01 00:00,1190:MT:SNTL,47.85562,-114.75841,5130.00,Sanders,170102120105
Bateman,Complete,1978-10-01 00:00,2100-01-01 00:00,316:NM:SNTL,36.51174,-106.31543,9230.00,Rio Arriba,130201020901
Battle Mountain,Complete,1985-10-01 00:00,2100-01-01 00:00,317:WY:SNTL,41.05402,-107.26674,7460.00,Carbon,140500030109
Beagle Springs,Complete,1976-10-01 00:00,2100-01-01 00:00,318:MT:SNTL,44.47147,-112.98191,8880.00,Beaverhead,100200010501
Bear Lake,Complete,1979-10-01 00:00,2100-01-01 00:00,322:CO:SNTL,40.31176,-105.64670,9490.00,Larimer,101900060201
Bear River,Complete,2004-10-01 00:00,2100-01-01 00:00,1061:CO:SNTL,40.06152,-107.00948,9100.00,Routt,140500010102
Bear River RS,Complete,2010-10-28 00:00,2100-01-01 00:00,992:UT:SNTL,40.88520,-110.82770,8510.00,Summit,160101010106
Bear Saddle,Complete,1979-10-01 00:00,2100-01-01 00:00,324:ID:SNTL,44.60533,-116.98097,6170.00,Washington,170501241001
Beartown,Complete,1979-10-01 00:00,2100-01-01 00:00,327:CO:SNTL,37.71433,-107.51240,11600.00,San Juan,130100010104
Beaver Ck Village,Complete,2002-11-01 00:00,2100-01-01 00:00,1041:CO:SNTL,39.59871,-106.51113,8530.00,Eagle,140100030301
Beaver Dams,Complete,1980-06-18 00:00,2100-01-01 00:00,329:UT:SNTL,39.13683,-111.55813,7970.00,Sanpete,160300040402
Beaver Divide,Complete,1978-10-01 00:00,2100-01-01 00:00,330:UT:SNTL,40.61233,-111.09782,8230.00,Summit,160202030105
Beaver Head,Complete,1993-10-01 00:00,2100-01-01 00:00,902:AZ:SNTL,33.69115,-109.21685,8070.00,Greenlee,150601010107
Beaver Reservoir,Complete,1979-10-01 00:00,2100-01-01 00:00,331:OR:SNTL,45.14532,-118.21900,5140.00,Union,170601040301
Beaver Spring,Complete,2009-10-01 00:00,2100-01-01 00:00,1143:AZ:SNTL,36.32671,-109.05702,9240.00,Apache,140802040401
Ben Lomond Peak,Complete,1978-10-01 00:00,2100-01-01 00:00,332:UT:SNTL,41.37603,-111.94405,7700.00,Weber,160201020302
Berry Creek,Complete,1980-10-01 00:00,2100-01-01 00:00,334:NV:SNTL,39.31917,-114.62278,9350.00,White Pine,160600081301
Berthoud Summit,Complete,1963-09-01 00:00,2100-01-01 00:00,335:CO:SNTL,39.80364,-105.77786,11300.00,Grand,140100010202
Bettles Field,Complete,1980-10-01 00:00,2100-01-01 00:00,1182:AK:SNTL,66.91467,-151.53318,640.00,Yukon-Koyukuk,190901012604
Bevans Cabin,Complete,2012-10-01 00:00,2100-01-01 00:00,1214:UT:SNTL,40.46182,-112.25233,6470.00,Tooele,160203040401
Big Bend,Complete,1978-10-01 00:00,2100-01-01 00:00,336:NV:SNTL,41.76168,-115.69310,6890.00,Elko,170501040104
Big Creek Sum,Complete,1980-10-01 00:00,2100-01-01 00:00,337:NV:SNTL,39.29148,-117.11506,8710.00,Lander,160401070303
Big Creek Summit,Complete,1979-10-01 00:00,2100-01-01 00:00,338:ID:SNTL,44.62621,-115.79561,6560.00,Valley,170602080402
Big Meadow,Complete,1983-10-01 00:00,2100-01-01 00:00,340:NV:SNTL,39.45500,-119.94220,8240.00,Washoe,160501020505
Big Sandy Opening,Complete,1963-03-01 00:00,2100-01-01 00:00,342:WY:SNTL,42.64580,-109.25965,9100.00,Sublette,140401040101
Bigelow Camp,Complete,1979-10-01 00:00,2100-01-01 00:00,343:OR:SNTL,42.07875,-123.34393,5130.00,Josephine,171003090105
Bird Creek,Complete,2011-10-01 00:00,2100-01-01 00:00,1155:NV:SNTL,39.46138,-114.64863,7540.00,White Pine,160600081304
Bison Lake,Complete,1985-09-30 00:00,2100-01-01 00:00,345:CO:SNTL,39.76458,-107.35628,10950.00,Garfield,140100011401
Black Flat-U.M. Ck,Complete,1980-06-19 00:00,2100-01-01 00:00,348:UT:SNTL,38.67990,-111.59765,9420.00,Sevier,140700030101
Black Mesa,Complete,2011-07-28 00:00,2100-01-01 00:00,1185:CO:SNTL,37.78968,-108.18376,11580.00,Dolores,140300020103
Black Mountain,Complete,2010-10-01 00:00,2100-01-01 00:00,1161:CO:SNTL,40.88790,-105.66404,8950.00,Larimer,101900070501
Black Pine,Complete,1965-10-01 00:00,2100-01-01 00:00,349:MT:SNTL,46.41400,-113.43095,7170.00,Granite,170102020203
Blackhall Mtn,Complete,2009-08-07 00:00,2100-01-01 00:00,1119:WY:SNTL,41.05623,-106.71400,9830.00,Carbon,101800020504
Blacks Fork Jct,Complete,2010-09-30 00:00,2100-01-01 00:00,1162:UT:SNTL,40.95814,-110.58280,8880.00,Summit,140401070303
Blacktail Mtn,Complete,2010-08-25 00:00,2100-01-01 00:00,1144:MT:SNTL,47.98317,-114.35443,5660.00,Flathead,170102080302
